Market,Headline,Signal,Sentiment,Sent_Conf,Emotion,Emo_Conf,Score,Date,Source,Run_Time
Commodities,"Oil extends decline on possible Russia-Ukraine peace deal - Reuters. <a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxNbDBwV3hlT2FnWWhBWjdkU3d2VnFQTmNHeVc5NWZQX2pWcEtfaVZqUmVLb0NFbXRsNlhZc",⚪ Neutral,Neutral,1.0,neutral,0.933,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Mayor Daniella Levine Cava oppose Trump administration's plan for new oil drilling in Florida - NBC 6 South Florida. <a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPaGJHRENuRHowUUFuLVRVX",⚪ Neutral,Neutral,1.0,neutral,0.955,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Indian conglomerate to stop Russian oil imports amid pressure from Trump - The Washington Post. <a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxPTGhDMHkwdmpEMmM4VzZlVGx4eUw1ay1YVmtEejB6Wn",⚪ Neutral,Neutral,1.0,neutral,0.966,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Lundin Gold Inc (LUGDF) Q3 2025 Earnings Call Highlights: Record Gold Production and Robust ... - Yahoo Finance. <a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTFBsN1VnVHVQUEowdXFYOVRDR3gwe",🟢 Buy,Positive,1.0,neutral,0.921,1.1,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Trump administration announces plan for new oil drilling off the coasts of California and Florida - AP News. <a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNS2N4NlZYdDFRMmxxWWl3NWRYSXJFc",⚪ Neutral,Neutral,1.0,neutral,0.951,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"California leaders vehemently oppose expanded offshore oil - Times-Standard. <a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQbHI4TXcwaWdpbGE0MlF5UksyNWNOY0tWVlg1OEdPdVQ0MVFHckRXMnZIOGxDM",⚪ Neutral,Neutral,1.0,neutral,0.855,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Coalition calls for NM environment agency to address Artesia oil refinery explosion aftermath - Source New Mexico. <a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQR3ZGYVY3OEpxSVc3RFI1aVQ",⚪ Neutral,Neutral,1.0,neutral,0.958,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"US creates new oil drilling program off California coast - Jurist.org. <a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNZnJLNmFZeFZUcGhYN3R3V0pHWDhZTGdadDlGam5XcDFGZDZnNWx2MTRQdktKMU5FcnB",⚪ Neutral,Neutral,1.0,neutral,0.958,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Kenosha prosecutors charge two men, accused in gold bar scheme originating overseas - WISN. <a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQUFpyYWwydExjYWpoMV9LaWhUNm5rM0pqZkJlTUYxZ3ZaVk",⚪ Neutral,Neutral,1.0,neutral,0.961,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Oil Falls on Ukraine Peace Plan as Russia Sanctions Set to Start - Bloomberg.com. <a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxOeVJMYVpDUzZTQXloUU5MWHVfbDJOd2J1WkJuOWJSMHNQVE1fSzd2SnNp",⚪ Neutral,Neutral,1.0,neutral,0.953,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Members of Congress raise concerns about potential coastal oil drilling in letter to President - WJHG. <a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxQUzhNay1HZGxfZWE2YzBpMkxEVnJzaVpKdWp",🟠 Sell,Negative,1.0,neutral,0.951,-1.1,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Space Force Still Planning Futures-Like Command, Perhaps With a New Name - Air & Space Forces Magazine. <a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxNZlpHSTdPSHhOdWUtdWJFXzlxUlZTYmYxeU",⚪ Neutral,Neutral,1.0,neutral,0.958,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Copper Mountain getting ready for a World Cup racing event in Colorado - CBS News. <a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOZG9QdTZWbzB3RnVlTmRpY0N3WHJmQ3AxbmJnVVdoamNEU19HN1drY3l",⚪ Neutral,Neutral,1.0,neutral,0.953,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Trump administration pushes for new oil drilling off the coasts of Florida, California coasts - FOX 35 Orlando. <a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPYUtZSUtkbndjMHRXUlowV1dITW",⚪ Neutral,Neutral,1.0,neutral,0.967,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
